id,name,rank,city_id,image
98,Fundacion Universitaria Ceipa,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/167096_CEIPA.png"
99,Pilot University Of Colombia,NULL,170.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/150161_piloto.png"
100,Federal University Of Sergipe,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/156668_Sergipe.png"
101,Bellevue University College Of Arts And Sciences,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147953_bellevue-university.png"
102,Wright State University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/130541_02_WRIGHTSTATE_BIPLANE_N_FULL.jpg"
103,Massachusetts College Of Liberal Arts,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/143521_download2.png"
104,Unitau University Of Taubate,NULL,94.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/156730_UNITAU.png"
105,Amity Global Business School,NULL,703.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/154913_amity-logo.png"
106,Norwich University Online,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/163944_norwich_u.png"
107,Antwerp Management School,233,62.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/121901_logo1.JPG"
108,Imac Inglues Total,NULL,NULL,NULL
109,Utrecht University,110,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93650_thumb.jpg"
110,University Of Liverpool Online Programmes,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/133165_133003_UoL_Logo_Masterstudies.png"
111,Albertus Magnus College,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/144172_albertus-magnus-college-logo-white-95-anniversary.svg"
112,Clemson University College Of Education,801,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/141094_clemson.png"
113,Embryriddle Aeronautical University Worldwide Online,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147082_Embry-Riddle_Aeronautical_University_Seal.png"
114,State University Of New York Maritime College,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/163751_OIP26.jpg"
115,University Of Illinois At Chicago College Of Urban Planning And Public Affairs,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/123148_123141_COL.CUPPA.PADM.LOCKB.SM.RED.png"
116,Eindhoven University Of Technology,125,545.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/117084_TUe-logo-scarlet-L.png"
117,Universidad Panamericana De Guatemala,NULL,276.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/121393_Logo-Upana-azul.png"
118,Universidad De Leon,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/114405_1.jpg"
119,Cameron University Inc Business,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/143302_download3.png"
120,Linnaeus University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97139_thumb.jpg"
121,Benito Juuerez University,NULL,NULL,NULL
122,Nationallouis University College Of Management Business,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91106_thumb.jpg"
123,Technical University Of Denmark,99,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/126737_rsz_66110174_2335922333144310_119210055705821184_o.jpg"
124,Hawaii Pacific University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140448_hpu-primary-color-1000px.png"
125,Saint Joseph University Of Beirut,NULL,443.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/109743_109734_USJlogo.jpg"
126,University Of Pardubice,1001,189.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/133125_logo_university_of_pardubice.jpg"
127,University Of Manizales Universidad De Manizales,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165756_mani.jpeg"
128,University Of Westminster,701,119.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93435_thumb.png"
129,Lingnan University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/90/90331_thumb.gif"
130,Seton Hall University Online,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96940_thumb.png"
131,Royal Holloway University Of London,334,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95356_thumb.jpg"
132,Brown University,60,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140640_brown.jpg"
133,Baruch College Austin W Marxe School Of Public And International Affairs,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147940_download.png"
134,Catholic University Of Culiacan Universidad Catuflica De Culiacuen Ac Ucc,NULL,492.0,NULL
135,National Open And Distance University Universidad Nacional Abierta Y A Distancia Unad,NULL,170.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/156913_UNAD.png"
136,Ico Nida International College,NULL,781.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/160369_Logoiconida.png"
137,Insead,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/128683_XL-png-roundel-strap_CMYK-green.jpg"
138,University Of Birmingham Online,90,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/134292_CrestLogo_BlackText.png"
139,Kedge Business School,NULL,228.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/108834_Logo-Kedge.png"
140,University Of Wroclaw Faculty Of Law Administration And Economics,NULL,619.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95298_thumb.jpg"
141,Nazarbayev University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/17/172599_NUlogoedited.png"
