id,name,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
702,Victoria,Seychelles,187.35,89.68,63.95,69.88,73.33,7.97,28.47,14.62,92.52
703,Singapore,Singapore,151.65,91.15,72.4,71.09,83.09,17.52,41.14,33.31,57.45
704,Bratislava,Slovakia,147.73,62.35,69.67,57.5,48.80,14.47,30.67,40.9,80.72
705,Kosice,Slovakia,147.81,51.56,70.89,63.63,47.49,12.24,20.56,47.43,75.54
706,Poprad,Slovakia,NULL,NULL,77.5,52.78,NULL,10.59,18.75,10.31,58.10
707,Presov,Slovakia,150.11,56.58,61.74,57.64,39.02,8.89,23.0,40.8,75.15
708,Ljubljana,Slovenia,167.16,59.98,78.55,66.3,57.02,13.04,27.55,23.21,76.11
709,Mogadishu,Somalia,NULL,NULL,37.0,42.97,NULL,502.25,25.0,58.34,67.29
710,Bloemfontein,South Africa,129.41,86.14,27.65,58.52,42.31,9.65,18.57,67.58,77.85
711,Cape Town,South Africa,148.70,78.78,26.45,70.5,39.74,5.65,42.76,38.94,98.19
712,Durban,South Africa,139.42,75.39,19.43,57.71,37.44,3.23,26.11,53.07,95.61
713,East London,South Africa,NULL,NULL,26.15,68.06,NULL,NULL,28.33,50.64,98.61
714,George,South Africa,NULL,NULL,46.56,75.46,NULL,NULL,15.33,9.05,98.05
715,Hermanus,South Africa,NULL,NULL,66.18,89.58,NULL,NULL,20.0,0.0,NULL
716,Johannesburg,South Africa,124.43,71.87,19.3,60.42,43.29,3.14,40.72,61.14,91.38
717,Port Elizabeth,South Africa,NULL,NULL,23.88,62.86,NULL,3.49,31.31,34.43,98.81
718,Pretoria,South Africa,135.77,86.92,18.03,66.48,41.52,2.08,45.51,56.34,95.83
719,Busan,South Korea,159.23,77.36,74.51,93.4,68.63,10.69,33.25,57.83,79.22
720,Seoul,South Korea,125.26,78.35,73.93,82.33,77.58,30.79,42.14,58.75,68.39
721,Ulsan,South Korea,129.70,83.27,64.28,62.5,76.73,31.31,7.0,67.94,81.07
722,Almeria,Spain,157.04,66.76,49.95,41.67,49.85,5.66,11.5,40.52,96.31
723,Badajoz,Spain,NULL,NULL,87.87,87.5,NULL,5.39,12.5,22.49,91.93
724,Barakaldo,Spain,NULL,NULL,55.39,71.3,NULL,11.80,28.0,33.62,NULL
725,Barcelona,Spain,140.35,69.51,52.56,77.74,60.69,11.54,30.04,66.16,95.73
726,Bilbao,Spain,161.00,64.65,48.27,87.76,63.36,11.62,33.14,32.18,95.65
727,Canary Islands,Spain,NULL,NULL,56.09,87.5,NULL,5.04,30.0,75.86,98.89
728,Cartagena,Spain,95.38,29.30,50.68,51.85,29.50,23.81,30.0,58.97,55.95
729,Cordoba,Spain,NULL,NULL,73.75,78.7,NULL,2.53,21.33,16.95,80.10
730,Cordoba,Spain,NULL,NULL,39.84,70.13,NULL,7.93,33.0,72.3,99.95
731,Corunna,Spain,187.27,67.76,84.64,80.45,53.94,8.41,21.0,33.65,97.21
732,Cuenca,Spain,144.50,30.43,60.13,82.21,34.28,13.11,35.2,43.91,98.36
733,Denia,Spain,NULL,NULL,66.54,80.42,NULL,5.41,25.0,29.31,95.37
734,Gijon,Spain,178.16,63.71,84.38,84.44,56.43,8.04,26.33,42.97,96.63
735,Granada,Spain,174.98,81.66,70.86,73.17,51.64,7.62,23.3,40.2,86.55
736,Guadalajara,Spain,122.34,35.17,38.69,79.79,32.53,8.44,40.72,62.82,92.83
737,Huelva,Spain,NULL,NULL,74.82,68.06,NULL,5.34,28.0,64.43,95.70
738,Jerez De La Frontera,Spain,NULL,NULL,60.83,86.11,NULL,5.12,12.0,41.38,91.71
739,La Linea De La Concepcion,Spain,133.91,72.68,40.9,47.22,48.87,5.67,15.0,73.95,98.57
740,Leon,Spain,185.45,79.39,71.81,86.81,54.05,5.32,28.0,26.96,77.29
741,Leon,Spain,NULL,NULL,31.92,72.64,NULL,4.55,37.67,58.56,37.94
742,Madrid,Spain,155.32,73.40,70.51,79.61,57.83,11.53,35.35,51.97,85.47
743,Malaga,Spain,177.30,67.19,72.68,73.48,51.92,9.86,23.5,31.25,96.98
744,Marbella,Spain,177.76,60.07,61.35,77.48,60.83,12.15,19.0,18.56,96.50
745,Oviedo,Spain,201.86,81.75,83.9,92.22,57.36,6.54,25.0,25.63,96.54
746,Pamplona,Spain,213.12,76.15,88.43,86.52,60.34,10.16,18.0,0.86,88.82
747,Pontevedra,Spain,NULL,NULL,62.87,86.11,NULL,6.66,20.0,7.47,96.09
748,Puerto De La Cruz,Spain,NULL,NULL,64.71,21.67,NULL,8.85,30.0,25.0,98.73
749,San Sebastian,Spain,200.27,74.02,90.97,94.44,65.72,12.72,28.5,16.87,96.56
750,Santander,Spain,203.04,73.64,76.35,91.67,56.55,6.74,17.5,18.47,96.60
751,Santiago De Compostela,Spain,192.78,56.55,83.86,76.21,48.61,12.25,15.5,13.22,94.25
752,Valencia,Spain,171.96,69.68,75.18,80.61,52.29,7.48,29.35,44.45,93.84
753,Vigo,Spain,194.09,75.06,80.56,73.29,52.91,8.97,20.8,19.39,96.17
754,Zaragoza Saragossa,Spain,183.33,67.67,79.94,78.01,54.43,8.18,14.43,36.22,90.20
